Attraction Name,Latitude,Longitude,State,Type
Grand Adventures Tours,36.0983521,-115.1972275,Nevada,point_of_interest
BrushBuck Wildlife Tours,43.4731868,-110.7900965,Wyoming,point_of_interest
Escape Thrill,28.0383472,-82.73664040000001,United States,point_of_interest
Waco Tours,31.5515108,-97.1313596,Texas,point_of_interest
Echo Canyon River Expeditions,38.4968868,-105.3223882,Colorado,point_of_interest
Scottsdale Adventure Tours,33.4948764,-111.9216734,Arizona,political
The Magical Mystery Show!,21.275445,-157.8220021,United States,point_of_interest
Horseshoe Bend Slot Canyon Tours,36.9071924,-111.4812945,Arizona,point_of_interest
Kanab Tour Company,37.0421112,-112.5138465,Utah,point_of_interest
Door County Trolley,45.0604782,-87.2734832,Wisconsin,establishment
East Zion Adventures,37.2724667,-112.8747667,Utah,park
Dreamland Safari Tours,37.0426883,-112.5197347,Utah,park
Na Pali Experience,21.959653,-159.691901,Hawaii,point_of_interest
Babcock Ranch Eco Tours,26.8569306,-81.72121369999999,Florida,park
Vino's Picasso,26.52046,-81.869756,Florida,point_of_interest
Captain Derek's Dolphin Adventure,32.0151813,-80.8827944,Georgia,point_of_interest
Bikes And Hikes LA Tours,34.0889704,-118.3766489,California,park
Desert Wolf Tours,33.8657657,-112.1498589,Arizona,point_of_interest
Kayaking SRQ Tours and Rentals,27.3092988,-82.5694852,Florida,point_of_interest
Florida Adventures and Rentals,25.9557864,-81.72380609999999,Florida,point_of_interest
Smoky Mountain Ziplines,35.7629741,-83.56138539999999,United States,point_of_interest
American Adventure Expeditions,38.8123675,-106.1055572,Colorado,point_of_interest
Hike Maui,20.7983626,-156.3319253,Hawaii,natural_feature
The Escape Game Columbus,40.0499752,-82.9160277,Ohio,point_of_interest
Magic Hideaway,29.89203869999999,-81.3134221,United States,point_of_interest
Harv and Marv's Outback Alaska,58.3811381,-134.5696199,Alaska,point_of_interest
Legacy Mountain Ziplines,35.8078019,-83.46615690000002,Tennessee,establishment
Moab Tourism Center,38.5640604,-109.5501787,Utah,point_of_interest
Royal Gorge Rafting and Zip Line Tours,38.431109,-105.2688797,Colorado,natural_feature
American Legacy Tours,39.11061040000001,-84.51523999999999,Ohio,point_of_interest
Hocking Hills Canopy Tours,39.5785145,-82.51937439999999,United States,point_of_interest
Jekyll Island ​Dolphin Tours,31.0583102,-81.4228371,Georgia,point_of_interest
Mint Julep Experiences - Louisville,38.2526339,-85.7545983,Kentucky,point_of_interest
Kailani Tours Hawaii,19.675163,-156.012821,Hawaii,point_of_interest
Everglades Swamp Tours,26.1453465,-80.62457599999999,Florida,park
Chicago Greeter,41.8848289,-87.62533839999999,United States,point_of_interest
Na Pali Catamaran,22.2027884,-159.497409,Hawaii,point_of_interest
High Country Adventures,35.1238348,-84.71044239999999,United States,point_of_interest
Austin Detours,30.2649695,-97.737223,Texas,point_of_interest
Dream Racing,36.2721933,-115.0114522,Nevada,car_rental
Xtreme 4x4 Tours,38.539864,-109.515887,Utah,point_of_interest
Key West Extreme Adventures Shark Tours,24.5579189,-81.807622,Florida,point_of_interest
Fin Expeditions,28.3095292,-80.61408209999999,Florida,point_of_interest
Sea Screamer,30.1456256,-85.74879760000002,Florida,establishment
Back Country Safari Tours,36.3735952,-75.8279745,North Carolina,point_of_interest
Get Up And Go Kayaking - Rock Springs,28.7683992,-81.5037645,Florida,point_of_interest
ilimo,39.6553915,-105.0135083,Colorado,point_of_interest
Key Lime Bike Tours,24.5598112,-81.8048962,Florida,point_of_interest
Desert Monsters Tours,33.626265,-111.9421726,Arizona,point_of_interest
Adventure Tours in Motion,32.0722226,-81.09547429999999,Georgia,point_of_interest
The Fun Boats Dolphin Cruises,30.2778387,-87.56031039999999,Alabama,point_of_interest
ROAM Outdoor Adventure Co,37.1211491,-112.5639616,Utah,point_of_interest
Cocoa Kayaking,28.3125558,-80.6354446,Florida,point_of_interest
Red Rock Scooter Tours,36.1766006,-115.3624168,Nevada,point_of_interest
TOURS by STEVEN,29.9646051,-90.04647349999999,Louisiana,point_of_interest
Arizona ATV Adventures,34.86137000000001,-111.8140731,Arizona,point_of_interest
Adventures Out West,38.820308,-104.8414033,Colorado,point_of_interest
Bigfoot Zipline,43.6075391,-89.7903311,Wisconsin,point_of_interest
Ozark Mountain Ziplines,36.4273344,-93.7849651,Arkansas,establishment
Try Scuba Diving,21.2838343,-157.8464546,Hawaii,point_of_interest
Charleston Sailing Charters,32.7790565,-79.9510749,South Carolina,point_of_interest
Cape Water Tours,38.778922,-75.1407713,Delaware,point_of_interest
Explorida,28.89896229999999,-82.5928079,Florida,point_of_interest
Timberline Adventures,47.6730938,-116.7828051,Idaho,point_of_interest
Rip Roaring Adventures,35.8140068,-83.1455764,Tennessee,point_of_interest
Dan Mick's Guided Jeep Tours,38.58232599999999,-109.5522684,United States,point_of_interest
Wahoo Ziplines,35.8517404,-83.6099983,Tennessee,establishment
Navajo Spirit Tours,36.9838829,-110.1129551,Arizona,point_of_interest
Therapy IV Deep Sea Fishing Experience,25.906601,-80.1244467,Florida,point_of_interest
Epic 4X4 Adventures,38.5575334,-109.5421163,Utah,point_of_interest
Babylon Tours Washington D.C.,38.88722,-77.02087600000002,District of Columbia,point_of_interest
Inside Chicago Walking Tours,41.8781136,-87.6297982,Illinois,political
Dive Maui,20.8842762,-156.6853024,Hawaii,point_of_interest
Nice Guy Tours,40.736328,-74.000782,New York,point_of_interest
Boston Segway Tours,42.3593705,-71.0525068,Massachusetts,point_of_interest
Baranof Fishing Excursions,55.3396748,-131.6431448,Alaska,point_of_interest
Cherokee Rafting,35.1152819,-84.6940036,Tennessee,point_of_interest
New York Media Boat / Adventure Sightseeing Tours,40.7122897,-74.01697469999999,New York,point_of_interest
Liquid Alaska Tours,58.2987361,-134.4045556,Alaska,point_of_interest
Navitat Canopy Adventures - Asheville Zipline,35.5950581,-82.5514869,North Carolina,political
Geyser Whitewater Expeditions,45.2461953,-111.2521984,Montana,point_of_interest
Maui Plane Rides,20.8982384,-156.4257157,Hawaii,point_of_interest
Dreamlander Tours,25.9220984,-81.6471182,Florida,park
Solitude Float Trips,43.6552739,-110.7158214,Wyoming,point_of_interest
"SK Tours Of Maine, LLC",44.7978477,-68.80582129999999,Maine,establishment
Raft One,35.0365753,-84.4276809,United States,point_of_interest
Canopy Ridge Farm,35.4213726,-82.1718714,North Carolina,point_of_interest
New Orleans Secrets,29.9575276,-90.0657538,Louisiana,point_of_interest
Broadmoor Outfitters,38.79226360000001,-104.8468204,Colorado,park
Almost Heaven Kayak Adventures,27.3092988,-82.5694852,Florida,point_of_interest
Rod's Alaskan Guide Service,64.7903911,-147.303876,Alaska,point_of_interest
Riptide Ride,46.425784,-86.660046,Michigan,point_of_interest
Kona Boys,19.5238925,-155.921827,United States,establishment
Hemingway Water Shuttle,25.961984,-81.727279,United States,point_of_interest
Manhattan Walking Tour,40.774227,-73.95249199999999,New York,point_of_interest
Jungle Zipline Maui,20.908069,-156.228042,Hawaii,point_of_interest
Charlotte NC Tours,35.2270869,-80.8431267,North Carolina,political
iRide Nashville,36.1631358,-86.7819641,Tennessee,point_of_interest
Alaska Helicopter Tours,61.4343349,-148.7660042,United States,point_of_interest
Hollywood Hikes,34.0928092,-118.3286614,California,political
Blazin' Paddles,36.0099332,-114.7844222,Nevada,point_of_interest
Intrepid Urban Adventures - Boston,42.3600825,-71.0588801,Massachusetts,political
Maine State Sea Kayak,44.2849796,-68.32802339999999,United States,point_of_interest
The Adventure Company,38.81307890000001,-106.105892,Colorado,point_of_interest
Detroit Rolling Pub,42.33686369999999,-83.05551539999999,Michigan,establishment
